game_key,n_market_types,series
26AUG06HRKBES,11,KXUEL1H|KXUEL1HBTTS|KXUEL1HSPREAD|KXUEL1HTOTAL|KXUELBTTS|KXUELFTTS|KXUELGAME|KXUELSCORE|KXUELSPREAD|KXUELTEAMTOTAL|KXUELTOTAL
26AUG06FTCGOR,11,KXUEL1H|KXUEL1HBTTS|KXUEL1HSPREAD|KXUEL1HTOTAL|KXUELBTTS|KXUELFTTS|KXUELGAME|KXUELSCORE|KXUELSPREAD|KXUELTEAMTOTAL|KXUELTOTAL
26AUG06BENHOM,11,KXUEL1H|KXUEL1HBTTS|KXUEL1HSPREAD|KXUEL1HTOTAL|KXUELBTTS|KXUELFTTS|KXUELGAME|KXUELSCORE|KXUELSPREAD|KXUELTEAMTOTAL|KXUELTOTAL
26AUG05LAFCCDG,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG05TOLSEA,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG05NSHLEO,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG05DALQUE,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG05MONORL,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG05MIAASL,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG05PANCSK,11,KXUECL1H|KXUECL1HBTTS|KXUECL1HSPREAD|KXUECL1HTOTAL|KXUECLBTTS|KXUECLFTTS|KXUECLGAME|KXUECLSCORE|KXUECLSPREAD|KXUECLTEAMTOTAL|KXUECLTOTAL
